n,time_seconds
n,time_seconds
1,0.004717
2,0.002684
3,0.001902
4,0.001569
5,0.001387
6,0.001327
7,0.001189
8,0.002014
9,0.003044
10,0.002924
11,0.003104
12,0.002135
13,0.001419
14,0.001587
15,0.001995
16,0.001936
17,0.001858
18,0.001777
