n,time_seconds
n,time_seconds
1,0.003492
2,0.002489
3,0.001844
4,0.001815
5,0.001664
6,0.001509
7,0.001686
8,0.001784
9,0.001730
10,0.001727
11,0.002292
12,0.002024
13,0.002169
14,0.002129
15,0.002355
16,0.002310
17,0.001986
18,0.002142
19,0.002247
20,0.002435
21,0.002306
22,0.002199
23,0.002164
24,0.001848
