n,time_seconds
n,time_seconds
1,0.000768
2,0.000709
3,0.000777
4,0.000839
5,0.001025
6,0.001122
7,0.001475
8,0.001800
9,0.001404
10,0.001571
11,0.001682
12,0.001743
13,0.001793
14,0.001967
15,0.001903
16,0.002254
17,0.001715
18,0.001801
19,0.001597
20,0.001800
21,0.001618
22,0.001994
23,0.002114
24,0.002314
